Date,Open,High,Low,Close,Adj Close,Volume
8/12/2019,46.029999,46.330002,45.700001,45.98,45.111282,4558500
8/13/2019,45.779999,46.93,45.73,46.779999,45.896168,5744700
8/14/2019,46.400002,46.490002,45.849998,45.869999,45.003361,8907400
8/15/2019,45.880001,46.18,45.220001,45.490002,44.630543,6363500
8/16/2019,45.700001,46.73,45.689999,46.48,45.601837,6986700
8/19/2019,46.830002,47.189999,46.639999,46.700001,45.81768,4439900
8/20/2019,46.619999,46.720001,45.580002,46.029999,45.160336,5619400
8/21/2019,46.330002,46.529999,45.93,46.25,45.376183,5323600
8/22/2019,46,46.900002,45.990002,46.59,45.709759,8287000
8/23/2019,46.91,47.18,46.150002,46.41,45.533157,10740100
8/26/2019,46.970001,47.610001,46.5,47.119999,46.229744,12763200
8/27/2019,51.169998,52.450001,44.830002,45.25,44.395077,58065900
8/28/2019,45.169998,46.689999,44.669998,45.849998,44.983738,20298000
8/29/2019,46.169998,46.299999,43.849998,44.25,43.413967,18214200
8/30/2019,44.060001,44.580002,43.57,43.740002,42.913605,13984600
9/3/2019,43.700001,44.139999,43.07,44.040001,43.207939,8934800
9/4/2019,44.259998,44.5,43.41,44.299999,43.463024,7839500
9/5/2019,44.549999,44.599998,43.810001,43.849998,43.021526,9043300
9/6/2019,44.02,44.32,43.66,43.849998,43.021526,10429600
9/9/2019,44,44.279999,43.619999,44.040001,43.207939,10164500
9/10/2019,43.509998,44.240002,43.470001,44.240002,43.40416,11305600
9/11/2019,44.299999,44.970001,43.650002,44.720001,43.875092,16156100
9/12/2019,44.900002,44.919998,44,44.459999,43.619999,9625500
9/13/2019,43.439999,43.509998,41.970001,42.009998,42.009998,21099500
9/16/2019,41.490002,42.080002,41.27,41.41,41.41,16502700
9/17/2019,41.5,41.799999,41.240002,41.310001,41.310001,11659500
9/18/2019,41.080002,41.380001,40.75,40.84,40.84,13290500
9/19/2019,40.860001,41.040001,39.299999,40.119999,40.119999,22526700
9/20/2019,40.43,41.32,39.950001,40.810001,40.810001,31224800
9/23/2019,40.630001,41.610001,40.52,40.880001,40.880001,10826000
9/24/2019,40.970001,41.200001,40.580002,40.73,40.73,11577900
9/25/2019,41.48,41.650002,39.439999,40.560001,40.560001,26028300
9/26/2019,39.759998,40.790001,39.720001,40.66,40.66,11894400
9/27/2019,40.66,40.73,39.790001,40.130001,40.130001,8618500
9/30/2019,40.25,41.09,40.200001,40.900002,40.900002,9891900
10/1/2019,41.029999,41.18,40.709999,41.16,41.16,7696100
10/2/2019,40.970001,40.98,40.110001,40.209999,40.209999,9586900
10/3/2019,40.200001,40.900002,40.130001,40.810001,40.810001,11412600
10/4/2019,40.560001,41.66,40.549999,41.650002,41.650002,12485900
10/7/2019,41.959999,42.560001,41.849998,42.169998,42.169998,16154000
10/8/2019,42.310001,42.639999,42,42,42,9985000
10/9/2019,42.139999,42.48,41.68,42.459999,42.459999,7764100
10/10/2019,42.849998,43.540001,42.669998,42.98,42.98,10563700
10/11/2019,43.119999,43.400002,42.41,42.57,42.57,7714800
10/14/2019,42.52,42.799999,42.380001,42.720001,42.720001,6743000
10/15/2019,42.75,43.57,42.740002,43.43,43.43,7003900
10/16/2019,43.450001,43.720001,43.299999,43.509998,43.509998,7916800
10/17/2019,43.900002,44.279999,43.529999,44.279999,44.279999,9255800
10/18/2019,44.279999,44.57,44.139999,44.330002,44.330002,13209800
10/21/2019,44.549999,45.599998,44.509998,45.560001,45.560001,10422000
10/22/2019,45.560001,46.360001,45.16,46.34,46.34,9921700
10/23/2019,46.400002,46.799999,46.07,46.75,46.75,9323100
10/24/2019,46.759998,47.119999,46.369999,46.959999,46.959999,7872800
10/25/2019,46.68,47.16,46.540001,46.799999,46.799999,6805200
10/28/2019,46.66,46.75,45.950001,45.990002,45.990002,12435400
10/29/2019,45.599998,46.380001,45.259998,46.380001,46.380001,9042500
10/30/2019,46.32,46.419998,45.84,45.959999,45.959999,7848800
10/31/2019,46.599998,47.150002,44.57,44.790001,44.790001,12698200
11/1/2019,44.599998,45.419998,44.580002,45.060001,45.060001,9254400
11/4/2019,45.16,45.689999,45.110001,45.599998,45.599998,8863500
11/5/2019,45.630001,46.43,45.419998,46.25,46.25,9413800
11/6/2019,46.41,46.439999,45.619999,45.91,45.91,7713300
11/7/2019,46.16,46.18,45.630001,45.98,45.98,8383500
11/8/2019,45.849998,46.41,45.630001,46.41,46.41,5604100
11/11/2019,46.259998,46.66,46.080002,46.41,46.41,5895600
11/12/2019,46.400002,47.02,46.119999,47,47,6631900
11/13/2019,46.860001,47.419998,46.82,46.830002,46.830002,7733800
11/14/2019,46.950001,47.119999,46.59,46.630001,46.630001,6413400
11/15/2019,46.580002,47.98,46.52,47.970001,47.970001,8329800
11/18/2019,47.970001,48.369999,47.630001,48.2701,48.2701,3155380
